,COD_Ateneo,COMUNE,Classe dimensione,Indirizzo,NomeEsteso,NomeOperativo,PROVINCIA,REGIONE,Statale/NonStataleLibera,Tipologia_ateneo_descrizione,URL,Zona Geografica,_id,status,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021
75,6601,L'AQUILA,da 10.000 a 19.999,Via Giovanni Di Vincenzo 16/B,Università degli studi di L'Aquila,L'Aquila,L'AQUILA,ABRUZZO,Statale   ,Università,www.univaq.it,SUD,86,Attivo    ,3.4,3.5,3.3,3.5,,3.4
76,6603,L'AQUILA,,"Viale F. Crispi, 7",Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila,L'Aquila GSSI,L'AQUILA,ABRUZZO,Statale   ,Scuola Superiore ad Ordinamento Speciale,www.gssi.infn.it,SUD,88,Attivo    ,,,,,,
77,6701,TERAMO,inferiore a 10.000,"Via Renato Balzarini, 1",Università degli Studi di Teramo,Teramo,TERAMO,ABRUZZO,Statale   ,Università,www.unite.it,SUD,89,Attivo    ,2.8,3.0,2.8,3.2,,3.2
78,6901,CHIETI,da 20.000 a 29.999,"Via dei Vestini, 31 Campus Universitario",Università degli studi Gabriele D'Annunzio di Chieti e Pescara,Chieti e Pescara,CHIETI,ABRUZZO,Statale   ,Università,www.unich.it,SUD,90,Attivo    ,3.3,3.2,3.3,3.5,,3.4
79,6902,TORREVECCHIA TEATINA,inferiore a 10.000,"Palazzo dei Baroni - Piazza San Rocco, 2","Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)",Torrevecchia Teatina - Leonardo da Vinci,CHIETI,ABRUZZO,Non Statale,Università telematica,www.unidav.it,SUD,91,Attivo    ,,,,,,
80,7001,CAMPOBASSO,inferiore a 10.000,"Via de Sanctis, s.n. II Edificio Polif.",Università degli Studi del Molise,Molise,CAMPOBASSO,MOLISE,Statale   ,Università,www.unimol.it,SUD,92,Attivo    ,2.9,2.7,2.5,3.5,,4.7
81,701,AOSTA,inferiore a 10.000,"Strada Cappuccini, 2A",Università della Valle d'Aosta,Aosta,AOSTA,VALLE D'AOSTA,Non Statale,Università,www.univda.it,NORD-OVEST,6,Attivo    ,4.7,6.3,6.1,6.7,6.0,6.6
82,7101,FOGGIA,da 10.000 a 19.999,"Via Gramsci, 89/91",Università degli Studi di Foggia,Foggia,FOGGIA,PUGLIA,Statale   ,Università,www.unifg.it,SUD,93,Attivo    ,2.9,2.8,3.3,3.1,,2.5
83,7201,BARI,da 30.000 a 59.999,"P.zza Umberto I, 1 Palazzo Ateneo",Università degli Studi di Bari,Bari,BARI,PUGLIA,Statale   ,Università,www.uniba.it,SUD,94,Attivo    ,2.5,2.9,3.1,3.0,,3.2
84,7202,BARI,da 10.000 a 19.999,"Via Amendola, 126/B",Politecnico di Bari,Bari Politecnico,BARI,PUGLIA,Statale   ,Politecnico,www.poliba.it,SUD,95,Attivo    ,3.3,3.5,3.4,3.5,,4.6
85,7203,CASAMASSIMA,inferiore a 10.000,S.S. 100 Km 18,Libera Università Mediterranea Jean Monnet,Casamassima - J.Monnet,BARI,PUGLIA,Non Statale,Università,www.lum.it,SUD,96,Attivo    ,,,4.0,,,
86,7501,LECCE,da 10.000 a 19.999,"piazza Tancredi,7",Università del Salento,Salento,LECCE,PUGLIA,Statale   ,Università,www.unisalento.it,SUD,97,Attivo    ,3.0,3.0,3.0,2.9,,2.5
87,7601,POTENZA,inferiore a 10.000,"Via Nazario Sauro, 85",Università degli studi della Basilicata,Basilicata,POTENZA,BASILICATA,Statale   ,Università,www.unibas.it,SUD,98,Attivo    ,2.1,2.5,2.5,2.3,,2.4
88,7801,RENDE,da 20.000 a 29.999,Via Pietro Bucci,Università della Calabria,Calabria,COSENZA,CALABRIA,Statale   ,Università,www.unical.it,SUD,99,Attivo    ,2.7,2.9,3.1,3.2,,3.8
89,7901,CATANZARO,da 10.000 a 19.999,Viale Europa - Loc. GERMANETO,Università degli studi di Catanzaro - Magna Grecia,Catanzaro,CATANZARO,CALABRIA,Statale   ,Università,www.unicz.it,SUD,100,Attivo    ,2.6,2.4,2.4,2.5,,2.4
90,8001,REGGIO DI CALABRIA,inferiore a 10.000,Cittadella Universitaria-Salita Melissari,Università degli studi Mediterranea di Reggio Calabria,Reggio Calabria,REGGIO CALABRIA,CALABRIA,Statale   ,Università,www.unirc.it,SUD,101,Attivo    ,2.9,2.7,2.8,2.8,,2.9
91,8003,REGGIO DI CALABRIA,inferiore a 10.000,"Via Torrione, 95","Università per stranieri ""Dante Alighieri"" di Reggio Calabria",Reggio Calabria - Dante Alighieri,REGGIO CALABRIA,CALABRIA,Non Statale,Università,www.unistrada.it,SUD,102,Attivo    ,9.4,15.2,13.2,8.6,,9.0
92,8201,PALERMO,da 30.000 a 59.999,"P.zza della Marina, 61 Pal. Steri",Università degli Studi di Palermo,Palermo,PALERMO,SICILIA,Statale   ,Università,www.unipa.it,ISOLE,103,Attivo    ,3.1,3.1,3.2,3.3,,3.1
93,8301,MESSINA,da 20.000 a 29.999,"P.zza S. Pugliatti, 1",Università degli Studi di Messina,Messina,MESSINA,SICILIA,Statale   ,Università,www.unime.it,ISOLE,105,Attivo    ,2.8,2.7,2.9,4.4,,4.4
94,8601,ENNA,inferiore a 10.000,"Via delle Olimpiadi, 4","Libera Università della Sicilia Centrale ""KORE"" di Enna",Enna - KORE,ENNA,SICILIA,Non Statale,Università,www.unikore.it,ISOLE,106,Attivo    ,5.3,5.9,5.9,5.1,,4.5
95,8701,CATANIA,da 30.000 a 59.999,"P.zza dell'Universita',2",Università degli Studi di Catania,Catania,CATANIA,SICILIA,Statale   ,Università,www.unict.it,ISOLE,107,Attivo    ,2.6,2.6,2.5,6.2,,5.0
96,9001,SASSARI,da 10.000 a 19.999,"P.zza dell'Universita', 21",Università degli Studi di Sassari,Sassari,SASSARI,SARDEGNA,Statale   ,Università,www.uniss.it,ISOLE,108,Attivo    ,3.2,3.3,3.4,3.5,,3.3
97,9201,CAGLIARI,da 20.000 a 29.999,"Via Universita', 40",Università degli Studi di Cagliari,Cagliari,CAGLIARI,SARDEGNA,Statale   ,Università,www.unica.it,ISOLE,109,Attivo    ,2.8,3.0,3.2,3.3,,3.2
